Table 3.  Biomarkers in independent trials involving more than 1 neurodegenerative disorder.,,,,,,,,,,,,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,
,NCT02120664,P1,AD,35,up to 70 minutes post injection,Variability of PET Images in Young Healthy Control Subjects.; Correlation of Florbetapir (18F) Centiloid and 11C-PiB Centiloid; Florbetapir SUVr Conversion to Centiloid Units,,2014,2017; Completed,,,
,NCT01703702,P4,AD,641,Baseline and 3 m,Change in Patient Management: Individual Categories; Change in Caregiver Self-efficacy; Change in Patient Management: Advice/Counseling; Change in Diagnostic Confidence; Change in Patient's Clinical Diagnosis; Change in ADAS-Cog 11 Total Score; Clinical and Diagnostic Change in Patient Management,,2012,2016; Completed,,,
,NCT02051790,P4,AD,241,Scan acquired 50-60 minutes post injection,Agreement Between Expert Panel and Clinical Practice Reads,,2014,2015; Completed,,,
,NCT02107599,P4,AD,96,Scan acquired 50-60 minutes post injection,Change in Scan Interpretation Reliability After Application of Quantitation Software; Change in Reader Accuracy After Application of Quantitation Software,,2014,2015; Completed,,,
,NCT01946243,P4,AD,96,Scan acquired 50-60 min post-injection,"Change in Reliability (MIMNeuro Software); Change in Total Accuracy (MIMNeuro Software, All Readers); Change in Total Accuracy (Siemens Syngo.PET Software, Experimental Arm All Readers); Change in Total Accuracy (Siemens Syngo.PET Software, Experimental Arm Low Accuracy Readers); Change in Reliability (Siemens Syngo.PET Software); Change in Total Accuracy (MIMNeuro Software, Low Accuracy Readers)",,2013,2015; Completed,,,
,NCT02029547,N/A,AD,0,Scan acquired 50-60 minutes post-injection,Inter Rater Reliability; Percent Agreement with Expert Panel; Change in inter reader reliability after application of quantitation software; Change in agreement with expert panel,,2014,2014; Withdrawn,,,
,NCT01890343,P2,"FTDLD, AD",34,50-60 minutes after injection,Quantitative Amyloid Image Assessment; Qualitative Amyloid Image Assessment,,2013,2014; Completed,,,
,NCT01660815,P1,AD,7,0-360 minutes,Whole Body Radiation Dosimetry,,2012,2013; Completed,,,
,NCT01662882,P2/P3,"MCI, AD",48,50-60 min after injection,Mean Cortical to Cerebellum SUVR; Qualitative Amyloid Image Assessment,,2012,2013; Completed,,,
,NCT00857532,P2,PD,31,50-60 min after injection,Correlation of Florbetapir SUVR With CSF Biomarker Values; Correlation Between Global Amyloid Burden and Clinical Measures of Cognitive Decline.; Mean Cortical Amyloid Burden,,2009,2013; Completed,,,
,NCT01503944,P1/P2,"PD, AD, DLB",30,Four Weeks,18F-AV-133 striatal to occipital standard uptake value ratio; 18F-AV-45 cortical to cerebellar standard uptake value ratio,,2012,2012; Completed,,,
,NCT00855868,P2,AD,28,28 d,Differences in Standard Uptake Value Ratio (SUVR) for Frontal Cortex/Cerebellum and Whole Brain/Cerebellum of the Positron Emission Tomography (PET) Scan With [18F]-AV-45 for Probable Alzheimer's Disease (AD) Versus Cognitively Normal Subjects.,,2009,2012; Completed,,,
,NCT01565382,N/A,AD,40,50-60 min after injection,Overall Inter-reader Agreement - Fleiss' Kappa; Inter-reader Agreement - Median Kappa Statistic,,2012,2012; Completed,,,
,NCT01565330,P1,AD,20,0-90 min after injection,Mean Cortical to Cerebellum SUVR; Florbetapir-PET Scan Quality,,2012,2012; Completed,,,
,NCT01550549,N/A,"AD, MCI",151,Baseline scan,Individual Reader Results (Autopsy Within 1 Year of Scan); Individual Reader Results (All Scans With Autopsy); Median Sensitivity and Specificity vs. CERAD Diagnosis; Inter-reader Reliability; Specificity of Florbetapir-PET to Detect no or Sparse Beta-amyloid Neuritic Plaques (Probable/Definite Alzheimer's Disease); Sensitivity of Florbetapir-PET to Detect Moderate to Frequent Beta-amyloid Neuritic Plaques (Probable/Definite Alzheimer's Disease); Inter-rater Reliability,,2012,2012; Completed,,,
,NCT01565356,N/A,AD,41,Scans acquired 30-40 min and 50-60 min post-injection,Agreement of Interpretation Between 30-40 and 50-60 Min Reads - Semi-quantitative Evaluation; Percent Agreement of Interpretation Between 30-40 and 50-60 Min Reads - Qualitative Evaluation,,2012,2012; Completed,,,
,NCT01565369,N/A,AD,35,50-60 min after injection,Inter-reader Agreement; Specificity of Florbetapir PET Scans to Detect Moderate to Frequent Amyloid Plaque; Sensitivity of Florbetapir PET Scans to Detect Moderate to Frequent Amyloid Plaque,,2012,2012; Completed,,,
,NCT00857415,P3,AD,226,at autopsy up to 12 m post-scan,Regional Correlation Analysis; Specificity Analysis; Correlation of Florbetapir-PET Image and Amyloid Plaque Density,,2009,2012; Completed,,,
,NCT01447719,P3,AD,110,at autopsy within 24 m of florbetapir PET scan,Median Sensitivity and Specificity vs. CERAD Diagnosis; Individual Reader Results (Autopsy Within 1 Year of Scan); Individual Reader Results (All Scans With Autopsy); Specificity Analysis in Subjects With Autopsy Within 1 Year of Scan; Sensitivity Analysis in Subjects With Autopsy Within 1 Year of Scan; Correlation of Florbetapir-PET Image and Amyloid Plaque Density; Specificity Analysis in All Autopsy Population; Sensitivity Analysis in All Autopsy Population,,2011,2012; Completed,,,
,NCT01564706,P1,AD,9,0-380 min after injection,Whole Body Radiation Dosimetry,,2012,2012; Completed,,,
,NCT01565291,Early P1,AD,32,50-60 min after injection,Mean Cortical to Cerebellum SUVR; Precuneus to Cerebellum SUVR,,2012,2012; Completed,,,
,NCT00702143,P2,"MCI, AD",184,50-60 min after injection,Mean Cortical to Cerebellum SUVR; Proportion of Positive Florbetapir-PET Scans; Qualitative Amyloid Image Assessment,,2008,2012; Completed,,,
,NCT01565343,P1,AD,25,50-70 min after injection,Mean Cortical to Cerebellum SUVR,,2012,2012; Completed,,,
[F18]T807,NCT01992380,P1,AD,24,110-130 minutes postdose,Test-Retest Reproducibility,,2013,2020; Completed,,,
,NCT02167594,P1,"CBD, PSP",29,baseline and 9 month scans,"Flortaucipir Imaging in PSP, CBD and Healthy Volunteers",,2014,2020; Completed,,,
repetitive transcranial magnetic stimulation,NCT04238000,N/A,PD,20,Changes from Baseline to immediately after stimulation,Step variability in dual-task walking; Step length in dual-task walking; Gait speed in dual-task walking; Turning speed in timed up and go tests; total distance of dual-task walking,,2020,2020; Recruiting,,,device
,NCT04222218,N/A,"PD, PSP",20,Changes from Baseline to immediately after stimulation,"Short Physical Performance Battery, total time (SPPB); Timed up and Go tests, total time (TUG); Static Balance tests, total time; Tinetti Balance test (TBT); Static Balance- area of sway; PSP rating scale (PSP-RS); Static Balance: wearable sensor analyses - velocity; Static Balance: wearable sensor analyses - acceleration; Static Balance: wearable sensor analyses - jerk",,2020,2020; Completed,,,
,NCT04030923,N/A,PD,30,three m,changes in depression severity measurements,,2019,2019; Completed,,,
Florbetapir,NCT01231971,,"AD, MCI",1182,1 year,"Correlations among biomarkers and biomarker change; APOE genotype, low CSF Aβ42, positive amyloid imaging with florbetapir F 18 (AV-45); Rate of change of tau and extent of tau deposition as measured by flortaucipir (18F-AV-1451); Extent of amyloid deposition as measured by Florbetapir F 18; Group differences for each imaging and biomarker measurement; Rate of volume change of whole brain, hippocampus and other structural MRI measures; Rate of Decline as measured by: Cognitive Tests, Activities of Daily Living, and CDR Sum of Boxes; Rate of conversion will be evaluated among all five groups; Rates of change on each specified biochemical biomarker; Rates of change of glucose metabolism (FDG-PET); Rate of cognitive decline using computer based testing as measured by Cogstate Brief Battery (CBB)",,2010,2020; Completed,,,
,NCT02266563,,"MCI, CTE",46,2 years,Uptake of [18F]T807 in the brain; Uptake of [18F]AV-45 in the brain; Neuropsychological data composite score,,2014,2019; Completed,,,
Neurostar repetitive transcranial magnetic stimulator,NCT02190084,P4,AD,20,4 w,Apathy Evaluation Scale (AES); Trials making test; Exit 25,,2014,2019; Completed,,,device
,NCT02190019,P4,MCI,14,8 w,Apathy Evaluation Scale (AES); Trials making test; Exit 25,,2014,2016; Unknown status,,,
Bacteriostatic saline,NCT01850381,P2,PD,6,12 w,"The change from the mean total UPDRS score of the combined screening and baseline visits to the total UPDRS score at the Week-12 visit, comparing treated with placebo.Compare safety and tolerability with placebo.; Change in total UPDRS between the mean screening-baseline visits and end of Week 2 (at visit 6 after dosing), and week 6, comparing the two arms of the study encompassing the entire cohort of 6 subjects.; Change in UPDRS sub-scores (Mental, Activities of Daily Living, Motor) between the mean screening-baseline visits and ends of Week 2 (at visit 6 after dosing), 6, and 12, comparing the two arms of the study encompassing the entire cohort of 6 subjects.; Time to the development of sufficient disability to require a change in symptomatic therapy.; Proportion of subjects requiring additional symptomatic treatment due to disability.; Change in Schwab & England ADL (activity of daily living) score from baseline to Week 2 (at visit 6 after dosing), 6, or 12.; Change in Hoehn & Yahr score (H&Y), Beck Depression Inventory (BDI), and Montreal Cognitive Assessment (MOCA) scores from baseline to Week 2 (at visit 6 after dosing), 6, or 12.; Secondary analyses will consider a comparison of slopes using a mixed-model approach with treatment as a fixed effect and subject-specific slopes as a random effect.",,2013,2019; Completed,,,drug
,NCT01854294,P2,ALS,12,"Symptom onset, baseline, week 2, week 6, week 12","Efficacy by percent change in biomarker in th CSF at week 12 from baseline; Safety by measuring 1. adverse event frequency and severity, changes in vital signs, clinical laboratory values. 2. Serious adverse event frequency; Tolerability by measuring the ability to complete the first 2 weeks of active treatment in the study; ALSFRS-R (Amyotrophic Laeral Sclerosis Functional Rating Scale - Revised); Forced Vital Capacity (FVC); Time Up and Go (TUG); muscle strength; Biomarker in blood; Mortality rate; comparison of slopes (change in the rate of decline)of disease progression; stratification of patients by symptoms",,2013,2019; Completed,,,
Repetitive transcranial magnetic stimulation,NCT03354455,N/A,PD,20,Within the first 60 minutes after levodopa intake,Levodopa-induced change in task-related regional neural activity as indexed by the blood oxygen level dependent (BOLD) signal; Onset of LID; Severity of LID,,2017,2019; Completed,,,device
,NCT01292382,N/A,MCI,34,"Neuropsychological tests: T1 - effects after rTMS, and T2: 4 w after rTMS",Repetitive transcranial magnetic stimulation improves memory in elderly with memory complaints; Repetitive transcranial magnetic stimulation improves global cognition of elderly with memory complaints,,2011,2011; Unknown status,,,
florbetapir,NCT01518374,P2,"AD, MCI",1768,48 hours,Number of Participants Experiencing Treatment-emergent Adverse Events Considered Related to Florbetapir Administration,,2012,2018; Completed,,,
,NCT02051790,P4,AD,241,Scan acquired 50-60 minutes post injection,Agreement Between Expert Panel and Clinical Practice Reads,,2014,2015; Completed,,,
,NCT01946243,P4,AD,96,Scan acquired 50-60 min post-injection,"Change in Reliability (MIMNeuro Software); Change in Total Accuracy (MIMNeuro Software, All Readers); Change in Total Accuracy (Siemens Syngo.PET Software, Experimental Arm All Readers); Change in Total Accuracy (Siemens Syngo.PET Software, Experimental Arm Low Accuracy Readers); Change in Reliability (Siemens Syngo.PET Software); Change in Total Accuracy (MIMNeuro Software, Low Accuracy Readers)",,2013,2015; Completed,,,
,NCT02029547,N/A,AD,0,Scan acquired 50-60 minutes post-injection,Inter Rater Reliability; Percent Agreement with Expert Panel; Change in inter reader reliability after application of quantitation software; Change in agreement with expert panel,,2014,2014; Withdrawn,,,
,NCT00857532,P2,PD,31,50-60 min after injection,Correlation of Florbetapir SUVR With CSF Biomarker Values; Correlation Between Global Amyloid Burden and Clinical Measures of Cognitive Decline.; Mean Cortical Amyloid Burden,,2009,2013; Completed,,,
,NCT00855868,P2,AD,28,28 d,Differences in Standard Uptake Value Ratio (SUVR) for Frontal Cortex/Cerebellum and Whole Brain/Cerebellum of the Positron Emission Tomography (PET) Scan With [18F]-AV-45 for Probable Alzheimer's Disease (AD) Versus Cognitively Normal Subjects.,,2009,2012; Completed,,,
,NCT01565382,N/A,AD,40,50-60 min after injection,Overall Inter-reader Agreement - Fleiss' Kappa; Inter-reader Agreement - Median Kappa Statistic,,2012,2012; Completed,,,
,NCT01565330,P1,AD,20,0-90 min after injection,Mean Cortical to Cerebellum SUVR; Florbetapir-PET Scan Quality,,2012,2012; Completed,,,
,NCT01550549,N/A,"AD, MCI",151,Baseline scan,Individual Reader Results (Autopsy Within 1 Year of Scan); Individual Reader Results (All Scans With Autopsy); Median Sensitivity and Specificity vs. CERAD Diagnosis; Inter-reader Reliability; Specificity of Florbetapir-PET to Detect no or Sparse Beta-amyloid Neuritic Plaques (Probable/Definite Alzheimer's Disease); Sensitivity of Florbetapir-PET to Detect Moderate to Frequent Beta-amyloid Neuritic Plaques (Probable/Definite Alzheimer's Disease); Inter-rater Reliability,,2012,2012; Completed,,,
,NCT01565356,N/A,AD,41,Scans acquired 30-40 min and 50-60 min post-injection,Agreement of Interpretation Between 30-40 and 50-60 Min Reads - Semi-quantitative Evaluation; Percent Agreement of Interpretation Between 30-40 and 50-60 Min Reads - Qualitative Evaluation,,2012,2012; Completed,,,
,NCT01565369,N/A,AD,35,50-60 min after injection,Inter-reader Agreement; Specificity of Florbetapir PET Scans to Detect Moderate to Frequent Amyloid Plaque; Sensitivity of Florbetapir PET Scans to Detect Moderate to Frequent Amyloid Plaque,,2012,2012; Completed,,,
,NCT01447719,P3,AD,110,at autopsy within 24 m of florbetapir PET scan,Median Sensitivity and Specificity vs. CERAD Diagnosis; Individual Reader Results (Autopsy Within 1 Year of Scan); Individual Reader Results (All Scans With Autopsy); Specificity Analysis in Subjects With Autopsy Within 1 Year of Scan; Sensitivity Analysis in Subjects With Autopsy Within 1 Year of Scan; Correlation of Florbetapir-PET Image and Amyloid Plaque Density; Specificity Analysis in All Autopsy Population; Sensitivity Analysis in All Autopsy Population,,2011,2012; Completed,,,
,NCT01564706,P1,AD,9,0-380 min after injection,Whole Body Radiation Dosimetry,,2012,2012; Completed,,,
,NCT01565291,Early P1,AD,32,50-60 min after injection,Mean Cortical to Cerebellum SUVR; Precuneus to Cerebellum SUVR,,2012,2012; Completed,,,
,NCT00702143,P2,"MCI, AD",184,50-60 min after injection,Mean Cortical to Cerebellum SUVR; Proportion of Positive Florbetapir-PET Scans; Qualitative Amyloid Image Assessment,,2008,2012; Completed,,,
,NCT01565343,P1,AD,25,50-70 min after injection,Mean Cortical to Cerebellum SUVR,,2012,2012; Completed,,,
florbetapir (18F),NCT01703702,P4,AD,641,Baseline and 3 m,Change in Patient Management: Individual Categories; Change in Caregiver Self-efficacy; Change in Patient Management: Advice/Counseling; Change in Diagnostic Confidence; Change in Patient's Clinical Diagnosis; Change in ADAS-Cog 11 Total Score; Clinical and Diagnostic Change in Patient Management,,2012,2016; Completed,,,
,NCT01660815,P1,AD,7,0-360 minutes,Whole Body Radiation Dosimetry,,2012,2013; Completed,,,
,NCT01662882,P2/P3,"MCI, AD",48,50-60 min after injection,Mean Cortical to Cerebellum SUVR; Qualitative Amyloid Image Assessment,,2012,2013; Completed,,,
18F-FDG,NCT01890343,P2,"FTDLD, AD",34,50-60 minutes after injection,Quantitative Amyloid Image Assessment; Qualitative Amyloid Image Assessment,,2013,2014; Completed,,,
,NCT01824056,P2,PD,120,3 years,"To analyze the sensitivity and specificity of 18F-DTBZ PET to the differential diagnosis of PD ,PSP,MSA,CBD.",,2013,2013; Completed,,,
