Table 10. All Intervention Matches in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,jlc,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,,
All Subjects,NCT03919669,P2,"AD, MCI",42,"Baseline, 6 m, 12 m, and 24 m.",Change in [18F]MK-6240 uptake; Correlate the changes in [18F]MK-6240 uptake and changes in clinical cognitive assessments by Mini-Mental Status Exam (MMSE); Correlate the changes in [18F]MK-6240 uptake and changes in clinical cognitive assessments by Clinical Dementia Rating Scale (CDR).; Correlate the changes in [18F]MK-6240 uptake and changes in clinical cognitive assessments by Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-cog); Change in the Cross-sectional comparison of [18F]MK-6240 uptake,,2019,2020; Enrolling by invitation,,,biom,
LMTM,NCT02245568,P3,"FTDLD, AD",913,Up to 34 m,Number of Participants With Serious or Non-serious Adverse Events,,2014,2020; Terminated,,,drug,
High-definition transcranial direct current stimulation,NCT03025334,N/A,"PD, MCI",36,1 month,cognitive performance in neuropsychological tests,,2017,2020; Recruiting,,,device,
Nelotanserin,NCT02708186,P2,"PD, DLB",34,28 d,Change in the Frequency of REM Sleep Behavior Disorders (RBD) From Baseline to the End of the Treatment Period (28 Days) Based on a Clinical Evaluator.,,2016,2020; Completed,,,drug,
"MRI Brain Imaging, Mental Health Assessment and Computerized Cognitive Test",NCT03967535,,"FTDLD, AD",30,within one month of study enrollment,Magnetic Resonance Imaging (MRI) Brain Imaging; DNA testing through saliva; Hair sample for cortisol measurement,,2019,2020; Completed,,,biom,
Insulin (Humulin® R U-100),NCT01767909,P2/P3,"AD, MCI",240,Baseline and Month 12,Change in CSF Biomarkers of AD; Change in Hippocampal and Entorhinal Atrophy as Measured by Magnetic Resonance Imaging (MRI); Change in Cognitive Deficit as Measured by Clinical Dementia Rating - Sum of Boxes (CDR-SB); Change in Daily Functioning as Measured by the ADCS-MCI Activities of Daily Living (ADCS-ADL-MCI); Change in Memory Composite as Measured by Story Recall (Immediate Paragraph Recall and Delayed Paragraph Recall) and Free and Cued Selective Reminding Test (FCSRT); Change in Global Measure of Cognition as Measured by the Alzheimer's Disease Assessment Scale-Cognitive 12 (ADAS-Cog12),,2013,2020; Completed,,,drug,
Insulin aspart,NCT02462161,P1,"MCI, AD",24,Baseline and week 12,"Change in cognition; Cerebral spinal fluid (CSF) and blood amyloid-beta, tau protein, and inflammatory markers; MRI measure of cortical thickness in Alzheimer's disease (AD) -vulnerable regions",,2015,2020; Completed,,,drug,
MyTAP oral appliance plus mouth shield,NCT03929302,N/A,"MCI, AD",60,6 w,Sleep Improvement with MyTAP oral airway management intervention; Memory cognitive domain improvement after airway management intervention; Executive function cognitive domain improvement after airway management intervention,,2019,2020; Recruiting,,,device,
Longitudinal follow-up,NCT04385225,N/A,"AD, MCI",300,Longitudinal follow-up for 24 m,Change in Repeatable Battery for the Assessment of Neuropsychological Status for Hearing Impaired Individuals total score,,2020,2020; Recruiting,,,delete,
"Methylene Blue, FD&C Blue # 2, Phenazopyridine hydrochloride",NCT02380573,P2,"AD, MCI",117,"baseline, change from baseline at 2 w ± 3 d, change from baseline at 12 w ± 3 d",Working memory task; Working memory task response; Episodic memory task; Episodic memory task response; Sustained attention task; Sustained attention task reaction time; Neuropsychological battery composite score; Cerebral blood flow measures; Functional Connectivity measures; CO2 challenge,,2015,2020; Suspended,,,drug,
"Anti-Parkinson medication, Deep Brain Stimulation",NCT02994719,,"HD, CBD, MSA, PSP, PD",120,"through study completion, an average of 1 year",Gait speed; Swing duration; Stance duration; Cadence; Stride length,,2016,"2020; Active, not recruiting",,,device,
In-Home Technology System and Questionnaires,NCT04206670,N/A,"MCI, AD",400,From 9 m to 12 m,Change from Baseline to 3 Months in Center for Epidemiological Studies Depression Scale (CES-D); Change from 3 Months to 6 Months in Center for Epidemiological Studies Depression Scale (CES-D); Change from 6 Months to 9 Months in Center for Epidemiological Studies Depression Scale (CES-D); Change from 9 Months to 12 Months in Center for Epidemiological Studies Depression Scale (CES-D); Change from Baseline to 3 Months in Zarit Burden Interview-Short Form; Change from 3 Months to 6 Months in Zarit Burden Interview-Short Form; Change from 6 Months to 9 Months in Zarit Burden Interview-Short Form; Change from 9 Months to 12 Months in Zarit Burden Interview-Short Form; Change from Baseline to 3 Months in Beck Anxiety Inventory (BAI); Change from 3 Months to 6 Months in Beck Anxiety Inventory (BAI); Change from 6 Months to 9 Months in Beck Anxiety Inventory (BAI); Change from 9 Months to 12 Months in Beck Anxiety Inventory (BAI); Change from Baseline to 3 Months in Satisfaction with Life Scale; Change from 3 Months to 6 Months in Satisfaction with Life Scale; Change from 6 Months to 9 Months in Satisfaction with Life Scale; Change from 9 Months to 12 Months in Satisfaction with Life Scale; Change from Baseline to 3 Months in Revised Functional Limitations Battery; Change from 3 Months to 6 Months in Revised Functional Limitations Battery; Change from 6 Months to 9 Months in Revised Functional Limitations Battery; Change from 9 Months to 12 Months in Revised Functional Limitations Battery,,2019,2020; Recruiting,,,device,
"Memantine, Donepezil, Measurement of serum level of anti-dementia drug",NCT04117178,P4,"PD, DLB, AD",110,For participants in the standard of care arm APOe4 allele status will be determined 1 year after enrollment. APOe4 allele status will be determined at the 6 month follow-up for participants in the intervention arm.,Change of Mini Mental State Examination (MMSE) test result; Change of Adenbrooke's Cognitive Exam (ACE) test result; Change of Neuropsychiatric Inventory Questionnaire (NPI-Q) score result; Change of Disability Assessment for Dementia (DAD) score result; Change of Clinical Global Impression (CGI) score result; Serum level of donepezil; Serum level of memantine; Level of compliance to treatment; Change in Geriatric Depression Scale (GDS) symptoms score; Change in quantitative electroencephalogram (qEEG); Cyp2D6 gene test; genetic test for BcHE K variant; genetic test for APOe4 allele status.,,2019,2020; Recruiting,,,drug,
RVT-101 35 mg,NCT02910102,P2,"DLB, AD, PD",38,"Baseline, 2 w",Change in Gait Measurements (cm/Sec) Under Dual Task Condition From Baseline to the End of Each Double-blind Treatment Period Based on Computerized Gait Assessment Tools.; Change From Baseline in Gait Speed (cm/Sec) Measurements From Baseline to the End of Each Double-blind Treatment Period Based on Computerized Gait Assessment Tools.,,2016,2020; Completed,,,drug,
"I-123 Ioflupane solution injection prior to SPECT scan (DaTscan), Single photon emission computed tomography (SPECT) scan",NCT01453127,P4,"PD, MCI",500,Participants will be followed for 1-3 d after scan.,Correlate the DaTscan findings with clinical diagnosis; Safety of DaTscan imaging,,2011,2020; Enrolling by invitation,,,biom,
"Mini Cognitive Examination (MCE), Beck Depression Inventory-II (BDI-II), Global Deterioration Scale (GDS), Memory alteration test (M@T), Spanish-Complutense Verbal Learning Test (TAVEC), Barcelona test (BT), Rey-Osterrieth Complex Figure Test (ROCFT), Frontal assessment battery (FAB), Positive and Negative Affect Scale (PANAS), Auto-Assessment Manikins (SAM)",NCT04353947,,"PD, AD",60,5-10 minutes,Mini-Mental State Examination (MMSE); Beck Depression Inventory-II (BDI-II); Global Deterioration Scale (GDS); Memory alteration test (M@T); Spanish-Complutense Verbal Learning Test (TAVEC); Barcelona test (BT); Rey-Osterrieth Complex Figure Test (ROCFT); Frontal assessment battery (FAB); Positive and Negative Affect Scale (PANAS); Auto-Assessment Manikins (SAM),,2020,2020; Recruiting,,,delete,
"In-Person Nutritional Counseling by a Registered Dietitian, Nutritional counseling using an e-Health Application",NCT02418546,N/A,"HD, PD, ALS",78,Change over time from Baseline to 6 m,Exploratory Efficacy Measure: Disease Progression in ALS Functional Rating Scale-Revised (ALSFRS-R); Exploratory Efficacy Measure: Survival; Tolerability: The Number of Participants Who Complete the Study While Complying With at Least 80% of the Counseling Sessions; Safety: Frequency of Adverse Events; Change in Calorie Intake Over Time; Exploratory Efficacy Measure: Quality of Life; Estimated Mean Change in Weight From Baseline to 6 Months,,2015,2020; Completed,,,device,
"TPI 287 2 mg/m2, TPI-287 20 mg/m2, TPI-287 6.3 mg/m2",NCT02133846,P1,"CBD, PSP",44,Screening and 2 Weeks after last infusion,CSF biomarkers; Maximum tolerated dose of TPI-287 in patients with primary 4RT; CBS or PSP.; TPI-287 levels in blood plasma and cerebrospinal fluid; Brain MRI scan; Degree of disability; Cognition; Behavior,,2014,2020; Completed,,,drug,
[18F]MNI-1126,NCT03587649,P1,"AD, PD,  ",12,1 year,Regions in the VOI template will be used to quantify the regional tracer uptake and used for comparison of potential uptake differences across the different groups.,,2018,2020; Completed,,,biom,
"CSF, blood and urine sampling, clinical measures of disease severity and progression",NCT02114242,,"PD, PSP, MSA",100,At inclusion (Day 0) and one year after inclusion,"Concentration of oligomeric alpha-synuclein in cerebrospinal fluid; Total alpha-synuclein concentration in CSF, oligomeric/total alpha-synuclein ratio in CSF; Oligomeric and total alpha-synuclein concentration in plasma, oligomeric/total alpha-synuclein ratio in plasma; Alpha-synuclein levels in relation to disease severity and progression, disease duration and age; Variation of alpha-synuclein levels between first and second sampling",,2014,2020; Recruiting,,,biom,
Navigated Care,NCT04287738,N/A,"FTDLD, AD",912,"From date of baseline survey to immediately following long term care placement, assessed up to 60 m",Change in Quality of Life - AD; Change in Health Care Utilization; Change in Zarit Burden Interview (short version).; Change in Patient Health Questionnaire 9 (PhQ-9).; Change in Caregiver Self-Efficacy: 1-5 ordinal scale; Time to Long Term Care Placement,,2020,"2020; Active, not recruiting",,,behav,
Insulin glulisine,NCT02503501,P2,"AD, MCI",49,Baseline and 6 m,Change in Functional Performance as Measured by the Functional Activities Questionnaire (FAQ); Change in Functional Performance as Measured by the Clinical Dementia Rating (CDR) Scale; Change in Cognition as Measured by the Alzheimer's Disease Assessment Scale - Cognitive 13 (ADAS-Cog 13),,2015,2020; Terminated,,,drug,
GE180 PET Scan,NCT03702816,P2,"PD, AD",70,Baseline,Linear Regression Model Assessing Cognitive Performance and Regional Microglial Activation; Repeated Measures Analyses to Asses Change in Microglial Activation Over Time; Linear Regression Model Assessing Cognitive Performance and Global Microglial Activation,,2018,2020; Enrolling by invitation,,,biom,
Valaciclovir 500Mg Tablet,NCT02997982,P2,"MCI, AD",33,Treatment day 28,Cerebrospinal fluid (CSF) Total Tau; Cerebrospinal fluid (CSF) Neurofilament light chain (NFL); Cerebrospinal fluid (CSF) phosphorylated Tau (p-Tau); Cerebrospinal fluid (CSF) Amyloid beta 1-42; PET/CT: [18F]-FHBG accumulation within the central nervous system (CNS); PET/CT: Location of [18F]-FHBG accumulation; PET/CT: [18F]-FHBG accumulation; Mini Mental State Examination - Swedish Revision (MMSE-SR); Cerebrospinal fluid (CSF) acyclovir concentration; Cerebrospinal fluid (CSF) 9-carboxymethoxymethylguanine (CMMG) concentration; Serum acyclovir concentration; Serum 9-carboxymethoxymethylguanine (CMMG) concentration; Proportion completing the [18F]-FHBG-PET/CT investigations; Proportion completing the 28 days treatment with valaciclovir at specified doses,,2016,2020; Completed,,,drug,
"physical exercise alone (PES) first, cognitive exercise alone (iCE) first, interactive Physical and Cognitive Exercise (iPACES™)",NCT03069391,N/A,"MCI, AD",31,change over time in score from baseline to 3 m,executive function composite score; brain-derived neurotrophic factor (BDNF); Sit-Stand Test,,2017,"2020; Active, not recruiting",,,behav,
deferiprone,NCT02880033,N/A,"ALS, PD",90,12 m,hydroxyl radical measured; adenosine triphosphate production measured by seahorse; oxygen consumption measured by seahorse; free reactive iron (ferrous iron); lipid peroxidation measured by Fluorescence-activated cell sorting,,2016,2020; Completed,,,drug,
Lumbar puncture,NCT04131491,N/A,"AD, MCI",80,"Patients will have their investigations at inlcusion (time frame: 8 w), after 1 year (time frame: 4 w) and after 2 years (time frame: 4 w).","Prevalence, expressed as percentage, of subclinical epileptiform activity in MCI due to AD patients, compared to healthy controls.; Odds ratio for conversion to clinical AD when comparing MCI patients with and without subclinical signs of epilepsy at the baseline evaluation.",,2019,2020; Recruiting,,,delete,biom
"Music lessons, Training intervention",NCT03444181,N/A,"MCI, AD",135,6 m,Brain age; Depression symptoms; Living independently at home; Language abilities; Sensori-motor functions; Activities of daily living; Disease progression; Cognitive functioning; Integrity of fibre tracts; Resting-state functional connectivity; Working alliance,,2018,2020; Recruiting,,,behav,
Categorical Language Fluency Smartphone Application,NCT02848404,N/A,"AD, MCI",20,after 4-w treatment,Application usage log; Subjective Memory Complaint Questionnaire; Geriatric Depression Scale; Korean version of MMSE for dementia screening,,2016,2020; Completed,,,device,
Radiopharmaceuticals,NCT03926702,Early P1,"MCI, PSP, AD",18,3 hours,Positron-emission tomography (PET) scan results,,2019,"2020; Active, not recruiting",,,biom,
SmartPrompt smartphone application,NCT04313582,N/A,"MCI, AD",80,2 w (after SmartPrompt Condition),Response Time (RT) to Alarm and Prompts Average; Participant Open-Ended Structured Interview; Caregiver Task Completion Rating Sum of SmartPompt Condition; Caregiver Task Completion Rating Sum of Control Condition; Caregiver Task Burden Sum of SmartPompt Condition; Caregiver Task Burden Sum of Control Condition; Participant Activity Log Sum of SmartPompt Condition; Participant Activity Log Sum of Control Condition; Participant Frustration Sum of SmartPompt Condition; Participant Frustration Sum of Control Condition; Caregiver System Usability Scale (C-SUS); Caregiver Problem Report Sum; Technical Support Log Total; Total Training Time; SmartPrompt Use Sum; Caregiver Open-Ended Structured Interview,,2020,2020; Recruiting,,,device,
"real anodal transcranial direct current stimulation, real transcranial alternating current stimulation, sham transcranial electric current stimulation",NCT03351452,N/A,"MCI, AD",28,follow-up after 24 hours,Performance on immediate cued recall task; Performance on delayed cued recall task; task-dependent BOLD activity; resting-state BOLD activity; Performance on cued recall task; Performance on recognition task,,2017,2020; Completed,,,device,
repetitive transcranial magnetic stimulation (rTMS),NCT04294888,N/A,"MCI, AD",40,up to 5 w,Paired Associative Face Name Memory Test; Changes in intrinsic functional connectivity,,2020,2020; Recruiting,,,device,
18F-AV-1451 (Tau-PET tracer),NCT02958670,N/A,"MCI, AD",150,Baseline and two years,Volume of Interest (VOI) or Voxel based assessment of 18F-AV-1451-PET-signal; Transition from one clinical state to another (e.g. MCI to AD) worsening of clinical function measured as an increase in CDRSOB-score of one; Neuropsycholgical test performance; Magnetresonance Tomography (MR) readouts; Blood and CSF-biomarker-read outs,,2016,2020; Enrolling by invitation,,,biom,
"real anodal transcranial direct current stimulation (tDCS), sham transcranial direct current stimulation (tDCS)",NCT03227185,N/A,"MCI, AD",55,1 day after on-site visit,Neurotransmitter levels; Episodic memory performance - learning curve; Episodic memory performance - delayed recall 1; Episodic memory performance - delayed recall 2,,2017,2020; Terminated,,,device,
"DVA, FDOCT, Pattern ERG",NCT02663531,N/A,"AD, MCI",150,1 day,Flicker induced increase in retinal blood flow,,2016,2020; Recruiting,,,biom,
"Closed loop acoustic stimulation, Sham acoustic stimulation",NCT04277104,N/A,"AD, MCI",72,"Assessed four times: on the morning before the first intervention night, on the morning after the last intervention night, one week after and 3 m after the intervention",Change from baseline episodic memory performance after three nights of intervention; Change from baseline performance in computer-based verbal new learning task (episodic memory) after three nights of intervention; Improvements in sleep physiology; Improvement in episodic memory performance at follow-ups; Improvement in new learning of episodic memory at follow-ups; Decreases in plasma amyloid-beta; General cognitive functions: working memory; General cognitive functions: cognitive flexibility; General cognitive functions: cognitive inhibition,,2020,2020; Recruiting,,,device,
[18F]MNI-958,NCT03545789,P1,"PSP, AD",16,1 year,"Tracer uptake will be evaluated in regions of interest for analysis of regional [18F]MNI-958 binding/uptake and expressed in SUV by using established methods for normalization for 4 AD, 7 PSP, and 3 HV subjects.",,2018,2020; Completed,,,device,
"Metabolic Cofactor Supplementation, Sorbitol",NCT04044131,P2,"AD, PD",120,4 w and 12 w,"Mini Mental State Examination (MMSE); Alzheimer's Disease Assessment Scale-cognitive subscale (ADAS-cog); Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS-ADL); Changes in creatinine kinase (CK) level from baseline; Change in thyroid-stimulating hormone (TSH) level from baseline; Unified Parkinson's Disease Rating Scale (UPDRS); Volumetric Magnetic resonance Imaging (MRI) and resting state functional magnetic resonance imaging (rest-fMRI); Neuropsychiatric Inventory (NPI); Montreal Cognitive Assessment (MoCA); Changes in serum omic profile from baseline; Microbiota analysis; Monitoring of adverse events; Change in heart rate from baseline; Change in blood pressure from baseline; Change in waist and hip circumference from baseline; Change in body weight from baseline; Change of complete blood count from baseline; Changes in liver function tests (alkaline phosphatase (ALP), alanine aminotransferase (ALT), Aspartate aminotransferase (AST), gamma-glutamyl transferase (GGT), total and direct Bilirubin, Albumin) from baseline; Changes in blood lipid levels (total cholesterol (TC), triglyceride (TG), low density lipoprotein (LDL-C), high density lipoprotein (HDL-C)) from baseline; Changes in kidney function tests (creatinine, urea, urate, sodium, potassium) from baseline; Change in blood insulin level from baseline; Change in glycated haemoglobin (HbA1c) level from baseline; Changes in blood glucose levels from baseline",,2019,2020; Recruiting,,,suppl,
Deferiprone 600mg delayed release tablets,NCT03234686,P2,"AD, MCI",171,12 m,"Efficacy of Deferiprone; Incidence of Treatment-Emergent Adverse Events (Safety and Tolerability); Brain Iron Levels; The effect of Deferiprone on the episodic memory, executive function and attention composites; The Association with Iron levels in the Brain and Cognitive Decline; The Potential for Brain Iron Load to be Used to Stratify Responsiveness to Deferiprone; The Potential for APOE Genotype to be Used to Stratify Responsiveness to Deferiprone",,2017,2020; Recruiting,,,drug,
[18F]Flutemetamol,NCT02778971,,"AD, MCI",50,within 30 d post amyloid PET scan,Proportion of drug management options changed after amyloid PET; Change in % likelihood of Alzheimer's disease (AD) diagnosis after amyloid PET scan; Proportion of care practices changed after amyloid PET scan; Proportion of change in leading diagnosis after amyloid PET; Change in physician confidence in leading diagnosis; Change in care partner's confidence in diagnosis after amyloid PET; Change in care partner satisfaction with evaluation after amyloid PET; Change in care partner assessment of the quality of evaluation after amyloid PET; Proportion of care partners finding amyloid PET scan worthwhile; Proportion exhibiting increased behavior disturbance during amyloid scan visit; Proportion exhibiting increased behavior disturbance when the diagnosis is given; Percentage of recommended care practices adhered to after amyloid PET scan; Percentage of recommended drug management adhered to after amyloid PET scan; Change in the interpretation of amyloid PET scans with semi-quantitative image analysis,,2016,2020; Recruiting,,,biom,
transcranial direct current stimulation (tDCS),NCT04237948,N/A,"PD, PSP",20,Changes from Baseline to immediately after stimulation,PSP rating scale (PSP-RS); Falls; Cognitive testing; Static Balance- area of sway; Tinetti Balance test (TBT); Static Balance: wearable sensor analyses - velocity; Gait speed; Turning speed; Activity of daily living,,2020,2020; Completed,,,device,
repetitive transcranial magnetic stimulation,NCT04222218,N/A,"PD, PSP",20,Changes from Baseline to immediately after stimulation,"Short Physical Performance Battery, total time (SPPB); Timed up and Go tests, total time (TUG); Static Balance tests, total time; Tinetti Balance test (TBT); Static Balance- area of sway; PSP rating scale (PSP-RS); Static Balance: wearable sensor analyses - velocity; Static Balance: wearable sensor analyses - acceleration; Static Balance: wearable sensor analyses - jerk",,2020,2020; Completed,,,device,
Flortaucipir,NCT01231971,,"AD, MCI",1182,1 year,"Correlations among biomarkers and biomarker change; APOE genotype, low CSF Aβ42, positive amyloid imaging with florbetapir F 18 (AV-45); Rate of change of tau and extent of tau deposition as measured by flortaucipir (18F-AV-1451); Extent of amyloid deposition as measured by Florbetapir F 18; Group differences for each imaging and biomarker measurement; Rate of volume change of whole brain, hippocampus and other structural MRI measures; Rate of Decline as measured by: Cognitive Tests, Activities of Daily Living, and CDR Sum of Boxes; Rate of conversion will be evaluated among all five groups; Rates of change on each specified biochemical biomarker; Rates of change of glucose metabolism (FDG-PET); Rate of cognitive decline using computer based testing as measured by Cogstate Brief Battery (CBB)",,2010,2020; Completed,,,biom,
Flutemetamol (Vizamyl),NCT02353949,P3,"MCI, AD",11,Six Months after initiation of standard treatment,Comparisons of change from pre-treatment assessment of ADCS-CGIC after 6 months in clinical constellations defined by clinical diagnosis and Flutemetamol-status; Change from pre-treatment assessment on the decision regret scale after three months; Change from pre-treatment assessment on the decision regret scale after six months; Change of ADAS-cog 11 score compared to pre-treatment assessment in Flutemetamol positive subjects with a postscan diagnosis of AD and start of cholinesterase inhibitors as standard treatment.; Change of ADCS-ADL score compared to pre-treatment assessment in Flutemetamol positive subjects with a postscan diagnosis of AD and start of cholinesterase inhibitors as standard treatment.; Change of ADCS-CGIC score compared to pre-treatment assessment in Flutemetamol positive subjects with a postscan diagnosis of AD and start of cholinesterase inhibitors as standard treatment.; Change of MMSE score compared to pre-treatment assessment in Flutemetamol positive subjects with a postscan diagnosis of AD and start of cholinesterase inhibitors as standard treatment.; Comparisons of change from pre-treatment assessment of ADAS-Cog-11 after 6 months in clinical constellations defined by clinical diagnosis and Flutemetamol-status; Comparisons of change from pre-treatment assessment of ADCS-ADL after 6 months in clinical constellations defined by clinical diagnosis and Flutemetamol-status; Comparisons of change from pre-treatment assessment of MMSE after 6 months in clinical constellations defined by clinical diagnosis and Flutemetamol-status,,2015,2020; Terminated,,,biom,
"Computerized cognitive battery: Cognigram (CG), The NeuroCatch™ Platform (NCP)",NCT03676881,,"MCI, AD",36,"baseline, 6 m, 12 m, 24 m, and 36 m follow ups",Longitudinal change in ERP´s latencies for Basic Attention (P300); CG scores (accuracy and reaction speed); MoCA scores; ERP´s amplitudes for Auditory sensation (N100); ERP´s amplitude for Cognitive processing (N400); ERP´s amplitude for Basic Attention (P300); ERP´s latency for Auditory sensation (N100); ERP´s latency for Cognitive processing (N400); ERP´s latency for Basic Attention (P300); Longitudinal changes in CG scores; Longitudinal changes in MoCA scores; Longitudinal change in Mini-mental state examination (MMSE); Longitudinal change in FAQ; Longitudinal change in GPCOG scores; Longitudinal change in Rey-Osterrieth Complex Figure test (RCFT); Longitudinal change in Hopkins Verbal Learning test (HVLT-R); Longitudinal change in Trail Making Tests A and B; Longitudinal change in Semantic Verbal Fluency test (animals).; Longitudinal change in ERP´s amplitudes for Auditory sensation (N100); Longitudinal change in ERP´s amplitudes for Cognitive processing (N400); Longitudinal change in ERP´s amplitudes for Basic Attention (P300); Longitudinal change in ERP´s latencies for Auditory sensation (N100); Longitudinal change in ERP´s latencies for Cognitive processing (N400),,2018,"2020; Active, not recruiting",,,device,
"tDCS, Exercise Education, Sham tDCS",NCT03670615,N/A,"AD, MCI",30,Change over 2 w (Midpoint to Endpoint),Change in global cognitive function: The Montreal Cognitive Assessment (MoCA) Total Scores; Changes in concentration of blood biomarkers of brain plasticity; Change in neuropsychiatric symptoms: The Neuropsychiatric Inventory (NPI); Change in cognition: n-back reaction time; Change in cognition: n-back accuracy; Change in cognition: The Word Recall Task from the Alzheimer's Disease Assessment Scale-Cog (ADAS-Cog); Change in cognition: The Word Recognition Task from the Alzheimer's Disease Assessment Scale Cog (ADAS-Cog),,2018,2020; Recruiting,,,device,
Naturalistic observation,NCT03672448,,"DLB, AD, MCI",10000,5 years,"Prevalence, incidence of neurocognitive disorder; Prevalence, incidence of mood disorder; conversion rate",,2018,2020; Recruiting,,,delete,
Transcranial ExAblate System,NCT02252380,N/A,"HD, PD",10,At the time of ExAblate procedure,Severity of Device and Procedure Related Complications,,2014,"2020; Active, not recruiting",,,device,
"GammaSense Stimulation System (Active Settings), GammaSense Stimulation System (Sham Settings)",NCT03556280,N/A,"AD, MCI",60,Quarterly over 6 m,Alzheimer's Disease Assessment Scale- Cognitive Subscale (ADAS-Cog); Amyloid PET/CT,,2018,"2020; Active, not recruiting",,,device,
BIIB092,NCT03658135,P1,"FTDLD, CBD",22,20 w,Incidence of Treatment-Emergent Adverse Events; Changes in Pharmacokinetic properties of BIIB092 in Plasma; Changes in Pharmacokinetic properties of BIIB092 in Cerebrospinal Fluid; Changes in Pharmacodynamic effects of BIIB092 on Cerebrospinal Fluid; Change in whole brain volume on brain MRI; Change in regional brain volume on brain MRI; Change in functional connectivity on brain MRI; Change in Cerebrospinal Fluid Biomarkers of phosphorylated tau; Change in Cerebrospinal Fluid Biomarkers of neurofilament light chain; Change in Cerebrospinal Fluid Biomarkers of total tau; Change in Schwab and England Activities of Daily Living (SEADL) scale; Changes in Functional Activities Questionnaire (FAQ); Change in Montreal Cognitive Assessment (MoCA); Change in Neuropsychiatric Inventory-Questionnaire (NPI-Q),,2018,2019; Terminated,,,drug,
NBMI,NCT04184063,P2,"PSP, MSA",16,"Day 56, 57","Pharmacokinetic parameters derived from plasma concentrations of NBMI: AUC0-∞; Pharmacokinetic parameters derived from plasma concentrations of NBMI: AUC%Extrap,obs; Changes in Non-Motor Symptoms assessment scale (NMSS) individual scale from baseline in MSA patients compared to placebo treatment; Changes in Progressive Supranuclear Palsy rating Scale (PSPRS) individual scales scores from baseline in PSP patients compared to placebo treatment; Changes in FAB individual scales scores from baseline in PSP patients compared to placebo treatment; Pharmacokinetic parameters derived from plasma concentrations of NBMI: t1/2; Pharmacokinetic parameters derived from plasma concentrations of NBMI: λz; Changes in Unified Multiple System Atrophy Rating Scale (UMSARS) individual scale from baseline in MSA patients compared to placebo treatment; Changes in QOL individual scores from baseline by MSA questionnaire in MSA patients; Changes in QOL individual scores from baseline by MSA questionnaire in MSA patients using Visual Analog score; Changes in QOL individual scores from baseline by EQ-5D score in PSP patients compared to placebo treatment; Changes in Parkinson's Disease Fatigue Score (PFS) score from Baseline - V1 to V2 (D29) and V1 to V5 (D57) in PSP and MSA patients compared to placebo treatment; Changes in Beck's Depression Inventory (BDI) scale (MSA patients) score from Baseline V1 to V2 (D29) and to V4 (D57) compared to placebo treatment; Changes in Geriatric depression scale (GDS) (PSP patients) score from Baseline - V1 to V2 (D29) and to V4 (D57) compared to placebo treatment; Frequency, type and severity of adverse events compared to placebo treatment .; Percentage of NBMI-treated patients who develop a response to NBMI.; Changes from baseline in brain metabolism as evaluated with Fluorodeoxyglucose Positron Emission Tomography (FDG PET) CT brain imaging compared to placebo treatment; Changes from baseline in brain iron levels as detected with Magnetic Resonance Imaging (MRI) imaging methods compared to placebo treatment; Pharmacokinetic parameters derived from plasma concentrations of NBMI: Maximum Plasma Concentration [Cmax]; Pharmacokinetic parameters derived from plasma concentrations of NBMI: AUC0-t; Pharmacokinetic parameters derived from plasma concentrations of NBMI: T max",,2019,2019; Recruiting,,,drug,
Droxidopa,NCT03446807,P2,"MSA, PD, PSP",32,Week 29,Efficacy of Droxidopa on fatigue in subjects with Parkinsonism as determined by completion of Visual Analogue Fatigue Scale (VAFS); Efficacy of Droxidopa on motor and non-motor symptoms of Parkinsonism as determined by the Unified Parkinson's Disease Rating Scale (UPDRS),,2018,2019; Not yet recruiting,,,drug,
"In-home technology, Limited in-home technology",NCT03828383,N/A,"AD, FTDLD",80,4 times over 9-month period (at time of installation and then every 3 m),Satisfaction with Life Scale; Zarit Burden Interview-Short Form; Center for Epidemiological Studies Depression Scale (CES-D); Beck Anxiety Inventory (BAI); Revised Functional Limitations Battery,,2019,2019; Recruiting,,,device,
Neuraceq,NCT04055532,,"DLB, PD, AD, ALS, FTDLD, MCI",0,2-5 Years,Performance on Batteries of Cognitive Tests,,2019,2019; Withdrawn,,,biom,
Combination of 40Hz light and cognitive therapy (ALZLIFE),NCT03657745,,"AD, MCI",2000,"through study completion, an average of 1 year",In-app cognitive test; Alzheimer's Disease Cooperative Study-activities of daily living (ADCS-ADL),,2018,2019; Recruiting,,,device,
social cognition,NCT03052712,N/A,"HD, AD, PD",44,3 years,tests of social cognition (questionnaire),,2017,2019; Terminated,,,behav,
F-18,NCT03625128,Early P1,"FTDLD, AD, PSP",36,YEAR ONE,The primary outcome measures are to evaluate the dosimetry of novel radiotracer 18F-PM-PBB3 in human.; Optimal scanning time for brain imaging using 18F-PM-PBB3 .,,2018,2019; Completed,,,biom,
